"","GSE123582_F1, sedentary ; F1, sedentary "
"14360",-0.1924
"14362",-0.3342
"14365",0.3532
"14366",-2.0347
"14367",-0.6292
"14368",0.6353
"14369",-2.1528
"14370",0.8852
"14371",0.0159
"14373",-0.1086
"14375",-0.6554
"14376",-1.2821
"14381",1.0245
"14385",-0.4574
"14387",-1.9162
"14388",1.9156
"14389",2.7747
"14390",1.0895
"14391",1.239
"14394",2.4961
"14395",1.0988
"14396",0.9902
"14397",3.7738
"14400",0.113
"14401",3.0575
"14402",1.5257
"14403",1.1401
"14404",-1.7674
"14405",-0.7618
"14406",1.8607
"14407",-0.1669
"14408",0.9375
"14409",0.2451
"14411",1.5727
"14412",1.1656
"14415",-0.0055
"14417",-0.4813
"14419",-1.1845
"14420",-0.5595
"14421",-2.2155
"14422",-0.1443
"14423",1.147
"14425",1.0822
"14426",-0.4532
"14427",-0.4636
"14428",-0.5065
"14429",0.0082
"14430",-0.3321
"14431",-1.1267
"14432",0.5645
"14433",-0.4072
"14447",1.7854
"14450",-0.8289
"14451",0.5181
"14453",1.7584
"14455",0.0322
"14456",-0.9368
"14457",0.3298
"14461",1.5015
"14462",1.3268
"14465",1.1406
"14466",-1.0893
"14467",-0.5949
"14469",1.7169
"14470",-0.455
"14472",2.0991
"14479",0.9242
"14489",2.3417
"14527",1.646
"14528",-0.9025
"14533",-0.5334
"14534",-1.775
"14536",1.7791
"14537",1.5043
"14538",0.7151
"14539",-1.0493
"14544",1.1346
"14545",2.3955
"14547",-0.3678
"14548",-0.0045
"14555",-1.2157
"14559",-0.8828
"14560",0.0573
"14561",0.0893
"14563",-0.376
"14566",-0.7813
"14567",0.4954
"14569",1.1509
"14570",-0.9734
"14571",1.4582
"14573",0.1715
"14579",-0.7036
"14580",-0.5849
"14583",0.8506
"14584",0.6846
"14585",-0.449
"14586",-1.1477
"14588",-0.6049
"14590",-0.5049
"14593",2.3341
"14594",1.7468
"14595",-1.029
"14598",-1.2611
"14599",0.2114
"14600",-1.5262
"14601",0.2512
"14605",-0.721
"14608",-1.7383
"14609",-0.2744
"14611",0.1151
"14612",0.6894
"14613",1.3261
"14615",1.9384
"14617",0.074
"14618",1.1297
"14619",1.4969
"14620",-1.2131
"14623",0.0286
"14628",0.5651
"14629",1.1342
"14630",0.2327
"14632",0.5288
"14633",-1.275
"14634",-0.8897
"14635",-1.2077
"14651",-1.5838
"14652",-1.7244
"14654",1.8607
"14657",-1.6489
"14658",2.7064
"14659",1.003
"14660",2.4795
"14661",-0.1825
"14663",0.8934
"14664",1.5094
"14667",-0.2961
"14670",-2.1738
"14672",-2.2328
"14673",-0.2706
"14674",-0.702
"14675",-0.3828
"14676",-3.1406
"14677",-0.2198
"14678",-0.733
"14679",0.7135
"14680",0.5008
"14682",1.4826
"14685",0.4869
"14686",-1.4399
"14687",-1.5833
"14688",0.2691
"14693",-0.8812
"14694",-1.0804
"14695",-2.1198
"14696",1.2445
"14697",-0.4779
"14700",0.0405
"14701",0.1838
"14702",1.1386
"14704",-0.1688
"14705",-0.5358
"14706",-0.5449
"14707",-0.1605
"14708",-2.2413
"14709",1.4344
"14710",-0.5074
"14711",-0.8766
"14712",0.2396
"14714",-2.3824
"14718",0.3533
"14719",-0.4736
"14723",1.5957
"14724",-0.1985
"14725",-1.4511
"14726",-1.6776
"14728",0.6532
"14729",0.905
"14731",-0.5548
