"","GSE123582_F1, sedentary ; F1, sedentary "
"13641",-0.0919
"13642",0.0971
"13643",0.0251
"13644",-0.1752
"13645",0.056
"13649",0.079
"13650",-0.0259
"13653",0.0324
"13654",-0.2633
"13655",0.0038
"13656",-0.1741
"13660",-0.0847
"13661",-1.2376
"13663",0.0258
"13664",0.0157
"13665",0.097
"13666",0.0369
"13667",-0.0984
"13669",0.0598
"13680",-0.0886
"13681",-0.0718
"13682",0.1004
"13684",0.0542
"13685",-0.2143
"13688",-0.0832
"13690",0.0272
"13709",-0.0994
"13710",0.3997
"13711",-0.2466
"13712",0.0514
"13713",0.1387
"13714",-0.1108
"13716",-0.0543
"13717",0.1781
"13722",0.0218
"13723",-0.0981
"13726",0.0245
"13728",-0.089
"13730",0.2204
"13731",0.0687
"13732",0.1891
"13733",-0.0863
"13796",-0.1081
"13797",-0.1419
"13798",1.1569
"13799",0.0335
"13800",-0.0137
"13803",0.0826
"13804",-0.0926
"13805",0.1678
"13806",-0.0559
"13808",-0.0494
"13809",0.0531
"13813",-1.8349
"13819",-0.0212
"13821",-0.0934
"13822",0.0299
"13823",0.172
"13824",0.0156
"13829",-0.0737
"13830",0.1102
"13831",-0.0557
"13835",-0.5226
"13836",0.0799
"13837",0.1103
"13838",0.09
"13839",0.0542
"13840",0.1058
"13841",-0.0357
"13842",0.4619
"13844",-0.105
"13845",-0.0601
"13846",-0.0388
"13848",-0.0069
"13849",-0.3125
"13850",-0.0892
"13852",-0.0509
"13853",0.013
"13854",-0.1496
"13855",-0.0117
"13857",-0.1307
"13858",0.0208
"13859",-0.0016
"13860",-0.0526
"13861",0.1781
"13864",-0.1225
"13865",0.114
"13866",-0.1827
"13867",0.1687
"13869",0.0651
"13870",-0.1076
"13871",-0.0854
"13872",-0.0205
"13875",-0.1453
"13876",0.158
"13877",-0.0233
"13885",0.0096
"13924",-0.3524
"13929",0.006
"13972",-0.0488
"13982",0.1576
"13983",0.1845
"13990",0.0846
"13992",0.0132
"13996",0.1385
"13998",-0.034
"13999",-0.0288
"14000",-0.0426
"14004",-0.0419
"14007",0.0286
"14009",0.2508
"14011",0.1863
"14012",0.4885
"14013",0.0024
"14017",0.1011
"14020",0.0177
"14025",0.0057
"14026",-0.0982
"14027",-0.0965
"14030",0.0517
"14038",-0.0044
"14042",-0.0107
"14043",-0.054
"14048",-0.0768
"14049",0.2352
"14050",-0.0017
"14051",-0.0115
"14055",0.0064
"14056",-0.0722
"14057",-3.558e-05
"14062",0.3972
"14063",0.7288
"14064",-0.5659
"14065",-0.1246
"14066",-0.0143
"14067",-1.9005
"14068",-0.4953
"14069",0.2118
"14070",0.0167
"14071",-0.0148
"14073",-0.0459
"14077",-0.0011
"14081",-0.0191
"14082",0.0175
"14083",0.0444
"14084",0.0348
"14085",0.0956
"14086",0.0162
"14087",0.068
"14088",0.2041
"14089",-1.0788
"14102",-0.0989
"14104",-0.1282
"14105",0.008
"14106",-0.5994
"14107",-0.1028
"14109",-0.071
"14113",-0.0782
"14114",0.0694
"14115",0.1139
"14118",0.0072
"14119",0.0081
"14121",-0.1902
"14123",-0.0081
"14127",0.0452
"14128",-0.086
"14129",0.0058
"14130",0.0057
"14131",-0.0718
"14132",-0.0487
"14133",0.2309
"14137",-0.0194
"14148",-0.0716
"14149",-0.0189
"14151",0.0756
"14154",-0.0381
"14155",0.0312
"14156",0.0174
"14158",-0.0229
"14159",0.0187
"14160",0.6626
"14161",1.2009
"14163",-0.1036
"14164",0.0314
"14165",0.1669
"14166",0.0835
"14167",0.1252
"14168",0.0638
"14169",0.1285
"14171",-1.2786
"14172",-0.2147
"14173",-0.1136
"14174",-0.798
"14176",-2e-04
"14178",0.2227
"14180",0.2124
"14181",0.538
"14182",-0.0771
"14183",0.0558
"14184",-0.0225
"14186",0.1171
"14187",-0.3213
"14190",0.356
"14191",0.8344
"14194",0.0617
"14198",-0.1807
"14199",-0.017
"14200",-0.0242
"14201",-0.5412
"14202",0.1168
"14204",0.2435
"14205",0.2155
"14208",-0.0591
"14211",0.0834
"14218",-0.0657
"14219",0.2219
"14221",0.0077
"14225",-0.1093
"14226",-0.0334
"14227",0.0322
"14228",-0.0814
"14229",-0.1884
"14230",-0.27
"14231",0.1695
"14232",-0.1462
"14234",0.6501
"14235",-0.3583
"14236",0.0491
"14238",0.1283
"14239",0.6416
"14245",0.0326
"14247",0.0693
"14248",0.0159
"14251",-0.028
"14252",-0.0491
"14254",0.2265
"14255",0.1864
"14256",0.0758
"14257",0.0046
"14260",-0.0267
"14261",0.1792
"14263",0.1293
"14264",0.6566
"14265",0.0925
"14266",0.0473
"14268",0.1703
"14269",0.1231
"14270",-0.0061
"14272",0.0267
"14275",-1.9545
"14276",-1.3107
"14281",-0.0858
"14282",-0.0657
"14284",-0.0021
"14287",-0.0345
"14293",-0.8309
"14296",-0.059
"14297",-0.0889
"14299",-0.0829
"14300",0.0721
"14302",-0.2701
"14312",-0.0926
"14313",0.0762
"14314",0.1277
"14325",-0.1048
"14339",0.0286
"14343",0.4543
"14344",0.3924
"14345",-0.4178
"14347",-0.5033
"14348",0.1759
"14349",0.1353
"14356",-0.1398
"14357",-0.045
"14359",0.067
"14360",-0.0067
"14362",-0.0441
"14365",0.0355
"14366",-0.505
"14367",-0.1105
"14368",0.0845
"14369",-0.3852
"14370",0.0932
"14371",0.0017
"14373",-0.0151
"14375",-0.0388
"14376",-0.0605
"14381",0.0566
"14385",-0.0343
"14387",-0.1445
"14388",0.1736
"14389",0.1426
"14390",0.0752
"14391",0.1084
"14394",0.1726
"14395",0.0677
"14396",0.0901
"14397",0.2119
"14400",0.009
"14401",0.1878
"14402",0.0912
"14403",0.1112
"14404",-0.773
"14405",-0.0724
"14406",0.091
"14407",-0.0175
"14408",0.4225
"14409",0.055
"14411",1.0946
"14412",0.5609
"14415",-3e-04
"14417",-0.0511
"14419",-0.3834
"14420",-0.0339
"14421",-0.1137
"14422",-0.0546
"14423",0.0497
"14425",0.1549
"14426",-0.0422
"14427",-0.199
"14428",-0.1453
"14429",0.0046
"14430",-0.0232
"14431",-0.1379
"14432",0.0683
"14433",-0.0276
"14447",0.3317
"14450",-0.0419
"14451",0.0363
"14453",0.1253
"14455",0.0032
"14456",-0.1709
"14457",0.0154
"14461",0.2165
"14462",1.3581
"14465",0.6716
"14466",-0.057
"14467",-0.0287
"14469",0.2457
"14470",-0.0518
"14472",2.5952
"14479",0.0537
"14489",0.104
"14527",0.8627
"14528",-0.1924
"14533",-0.0603
"14534",-0.0897
"14536",0.1848
"14537",0.2038
"14538",0.043
"14539",-0.521
"14544",0.0899
"14545",0.0966
"14547",-0.0218
"14548",-3e-04
"14555",-0.1044
"14559",-0.6382
"14560",0.0039
"14561",0.0041
"14563",-0.1433
"14566",-0.1538
"14567",0.0243
"14569",0.0442
"14570",-0.0973
"14571",0.0664
"14573",0.0788
"14579",-0.1399
"14580",-0.0562
"14583",0.0577
"14584",0.0613
"14585",-0.0364
"14586",-0.109
"14588",-0.0499
"14590",-0.0832
"14593",0.1031
"14594",0.2212
"14595",-0.198
"14598",-0.1681
"14599",0.894
"14600",-0.1841
"14601",0.0907
"14605",-0.0773
"14608",-0.138
"14609",-0.0144
"14611",0.0355
"14612",0.1055
"14613",0.3556
"14615",0.355
"14617",0.0067
"14618",0.1396
"14619",0.5567
"14620",-0.6554
"14623",0.0032
"14628",0.024
"14629",0.0558
"14630",0.0174
"14632",0.1115
"14633",-0.1415
"14634",-0.1059
"14635",-0.1517
"14651",-0.0899
"14652",-0.97
"14654",1.2646
"14657",-0.6369
"14658",0.1097
"14659",0.757
"14660",0.1522
"14661",-0.0094
"14663",0.5619
"14664",0.1503
"14667",-0.0275
"14670",-0.1203
"14672",-0.1243
"14673",-0.0215
"14674",-0.0424
"14675",-0.0825
"14676",-0.405
"14677",-0.0082
"14678",-0.0512
"14679",0.0444
"14680",0.036
"14682",0.0547
"14685",0.2881
"14686",-0.8546
"14687",-0.0683
"14688",0.0102
"14693",-0.0608
"14694",-0.0912
"14695",-2.0044
"14696",0.0927
"14697",-0.0234
"14700",0.0036
"14701",0.0112
"14702",0.0529
"14704",-0.0151
"14705",-0.0318
"14706",-0.0757
"14707",-0.0189
"14708",-0.1326
"14709",0.3939
"14710",-0.0885
"14711",-0.3346
"14712",0.0094
"14714",-1.2274
"14718",0.0176
"14719",-0.0255
"14723",0.2088
"14724",-0.0231
"14725",-0.2998
"14726",-0.2079
"14728",0.275
"14729",0.131
"14731",-0.0354
"14732",-0.0061
"14733",-0.0444
"14734",0.0918
"14735",-0.083
