"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_185743_coefficient","contrast_185743_log2fc","contrast_185743_tstat","contrast_185743_pvalue"
"126",19108,19108,"ENSMUSG00000035725","Prkx","protein kinase, X-linked",7.881e-05,0.0192,0.0041,-0.1697,-0.1697,-3.5363,0.0011
"127",71799,71799,"ENSMUSG00000029624","Ptcd1","pentatricopeptide repeat domain 1",8.079e-05,0.0194,0.0041,-0.222,-0.222,-3.4949,0.0012
"128",17289,17289,"ENSMUSG00000014361","Mertk","MER proto-oncogene tyrosine kinase",8.104e-05,0.0194,0.0042,0.2948,0.2948,4.0614,2e-04
"129",231646,231646,"ENSMUSG00000066952","Myo1h","myosin 1H",8.132e-05,0.0194,0.0042,-0.3979,-0.3979,-4.1311,2e-04
"130",217837,217837,"ENSMUSG00000057963","Itpk1","inositol 1,3,4-triphosphate 5/6 kinase",8.926e-05,0.0211,0.0042,0.1405,0.1405,3.5386,0.0011
"131",353155,353155,"ENSMUSG00000047197","Gjd3","gap junction protein, delta 3",9.467e-05,0.0222,0.0043,0.389,0.389,3.5007,0.0012
"132",231148,231148,"ENSMUSG00000029095","Ablim2","actin-binding LIM protein 2",9.853e-05,0.0224,0.0044,-0.1443,-0.1443,-4.1109,2e-04
"133",217154,217154,"ENSMUSG00000017400","Stac2","SH3 and cysteine rich domain 2",9.827e-05,0.0224,0.0043,0.3173,0.3173,3.678,7e-04
"134",117606,117606,"ENSMUSG00000022687","Boc","BOC cell adhesion associated, oncogene regulated",9.609e-05,0.0224,0.0043,-0.2057,-0.2057,-2.7868,0.0082
"135",213753,213753,"ENSMUSG00000041130","Zfp598","zinc finger protein 598",9.932e-05,0.0224,0.0044,-0.135,-0.135,-3.365,0.0017
"136",104318,104318,"ENSMUSG00000025162","Csnk1d","casein kinase 1, delta",9.983e-05,0.0224,0.0045,-0.0845,-0.0845,-2.6031,0.013
"137",100163,100163,"ENSMUSG00000037366","Pafah2","platelet-activating factor acetylhydrolase 2",1e-04,0.0224,0.0045,0.1885,0.1885,3.6194,8e-04
"138",214547,214547,"ENSMUSG00000046280","She","src homology 2 domain-containing transforming protein E",9.914e-05,0.0224,0.0044,-0.296,-0.296,-3.0036,0.0046
"139",11639,11639,"ENSMUSG00000028527","Ak4","adenylate kinase 4",1e-04,0.0227,0.0045,-0.2244,-0.2244,-2.9059,0.006
"140",107702,107702,"ENSMUSG00000038650","Rnh1","ribonuclease/angiogenin inhibitor 1",1e-04,0.0227,0.0046,0.1349,0.1349,3.2621,0.0023
"141",105245376,105245376,"","Gm40842","predicted gene, 40842",1e-04,0.0227,0.0046,1.6579,1.6579,4.3301,9.988e-05
"142",50709,50709,"ENSMUSG00000051627","H1f4","H1.4 linker histone, cluster member",1e-04,0.0227,0.0046,0.8763,0.8763,4.272,1e-04
