"","GSE270831_social isolation"
"29707",-0.1228
"29708",-0.4803
"29709",0.1942
"29710",0.3317
"29711",-0.1069
"29712",0.2544
"29713",0.1494
"29715",0.1541
"29716",0.253
"29717",0.108
"29719",-0.4868
"29721",0.4237
"29725",-0.2091
"29731",0.6181
"29734",0.3202
"29735",0.2312
"29737",0.099
"29744",0.1479
"29747",0.9677
"29748",0.0313
"29749",0.4725
"29750",0.0962
"29751",0.3029
"29752",-0.0974
"29755",0.0651
"29884",-0.1637
"50546",-9e-04
"50549",-9e-04
"50551",-0.0842
"50552",-0.0012
"50555",-0.0051
"50557",0.1121
"50559",0.1805
"50561",-0.2777
"50563",0.2118
"50564",0.0056
"50565",0.2251
"50566",-0.2271
"50567",-0.1304
"50568",0.0335
"50577",0.5204
"50592",0.3556
"50594",-0.0903
"50599",0.2776
"50621",-0.3315
"50645",-0.0123
"50654",-0.1833
"50662",-0.1681
"50665",-0.1818
"50669",-0.5223
"50676",0.5631
"50677",0.0215
"50678",0.1177
"50683",-0.5676
"50689",-0.0858
"50692",0.9439
"50693",-0.1018
"50719",0.1721
"50871",-0.2987
"50938",0.1462
"53949",0.2659
"54133",-0.6778
"54193",-0.3737
"54223",0.3973
"54225",1.1813
"54227",-0.0986
"54230",-0.2762
"54231",-0.1474
"54232",0.6181
"54236",0.4167
"54237",0.3807
"54238",-0.2762
"54239",0.2296
"54242",-7e-04
"54244",-0.0011
"54246",0.7081
"54248",-0.0293
"54249",0.3211
"54250",0.2363
"54251",0.548
"54252",-0.0968
"54254",-6e-04
"54256",0.0037
"54257",0.2478
"54258",-0.5156
"54259",-0.0327
"54261",-0.0372
"54263",-0.095
"54264",0.2872
"54266",0.695
"54267",0.3634
"54269",0.0015
"54270",0.0015
"54271",-0.5615
"54272",0.0161
"54278",0.4479
"54279",0.2726
"54281",0.1457
"54282",5.483e-05
"54283",-0.2045
"54284",-0.3737
"54286",0.4724
"54289",-0.8052
"54290",-0.0667
"54291",-0.0484
"54293",0.1498
"54294",0.674
"54295",0.063
"54297",0.0728
"54299",0.2631
"54300",-0.096
"54302",0.5014
"54305",0.4643
"54315",0.0297
"54319",-0.0308
"54320",-0.0914
"54323",0.6367
"54349",0.1851
"54355",-0.1117
"54398",-0.0693
"54400",-0.0837
"54404",-0.197
"54410",-0.3872
"54702",-0.0188
"55939",-0.2256
"56029",0.379
"56082",-0.1486
"56083",0.2084
"56227",-1.1165
"56266",0.1912
"56611",-0.3965
"56646",-0.0557
"56725",-0.3578
"56759",-0.2803
"56761",0.2418
"56763",0.0516
"56764",-0.0462
"56765",0.1578
"56768",0.3081
"56777",0.2485
"56778",1.1514
"56780",0.8901
"56781",0.0169
"56782",0.4543
"56785",0.0374
"56806",-0.9403
"56813",0.2516
"56814",0.8416
"56817",-0.1133
"56820",-0.1191
"56822",-0.301
"56823",-0.4526
"56824",0.7077
"56825",-0.3556
"56826",0.193
"56827",0.3306
"57021",-0.3717
"57022",0.144
"57029",0.3731
"57233",-0.6753
"57298",0.2003
"57301",0.213
"57302",0.04
"57305",-0.368
"57341",0.0411
"57395",0.3747
"57809",-0.4247
"58808",-0.1624
"58812",-0.2446
"58813",0.1123
"58821",-0.1189
"58826",-9e-04
"58827",-0.149
"58835",-0.227
"58838",-0.0546
"58850",-0.7384
"58852",0.0244
"58853",0.9389
"58857",-0.2005
"58917",-0.7381
"58919",0.2583
"58921",0.1736
"58922",-7e-04
"58923",0.2023
"58924",-0.2479
"58927",-0.1972
"58936",0.0107
"58940",-0.1738
"58942",0.0705
"58947",-0.438
"58949",-0.137
"58954",-0.1066
"58958",0.1638
"58959",0.1229
"58960",-0.091
"58961",-0.0942
"58962",-0.0413
"58963",0.3745
"58964",0.1555
"58965",-0.2056
"58966",0.011
"58968",0.1046
"58971",0.0219
"58976",0.2587
"58977",0.0681
"58979",0.1196
"58980",0.0189
"58982",0.4115
"59073",-0.1279
"59077",0.0406
"59086",-0.0874
"59087",-0.1411
"59102",-0.2169
"59103",0.5643
"59105",0.8629
"59106",0.0772
"59107",-0.1008
"59108",0.3228
"59109",-0.095
"59110",-1.3236
"59113",0.0612
"59114",-0.0729
"59115",0.031
"59116",0.3228
"59264",-0.9592
"59266",0.1016
"59268",-0.3094
"59294",0.0259
"59295",0.0236
"59296",1.1212
"59299",0.5042
"59300",-0.3607
"59301",-0.5583
"59302",-0.0129
"59303",0.1334
"59304",-0.7564
"59305",-0.1353
"59312",0.8285
"59314",-0.2374
"59315",0.3867
"59316",-0.5045
"59320",0.0129
"59322",0.1916
"59323",0.3714
"59324",-0.2364
"59327",1.372
"59329",1.049
"60323",0.1359
"60325",-0.5081
"60327",0.4374
"60329",-0.3662
"60331",-0.005
"60332",-1.9139
"60333",-1.0557
"60335",-0.9403
"60336",-0.2059
"60337",-0.9315
"60338",-0.1849
"60347",-0.158
"60349",-0.528
"60350",0.2972
"60351",-0.6147
"60352",0.0422
"60356",0.0643
"60357",0.2386
"60372",-0.6635
"60377",-0.1361
"60378",0.552
"60379",0.3078
"60381",0.3035
"60382",0.1287
"60383",-0.0879
"60391",0.111
"60395",0.0792
"60396",0.1075
"60398",-0.251
"60414",-1.4371
"60416",-0.1475
"60417",-0.6481
"60422",0.0623
"60423",0.1405
"60427",-0.1594
"60432",0.9683
"60434",-0.1497
"60442",0.4616
"60444",-0.1229
"60445",0.1958
"60447",0.1608
"60448",-0.1145
"60449",0.016
"60462",-0.7438
"60463",0.952
"60464",-0.0088
"60563",0.461
"60564",-0.5013
"60565",-0.2393
"60566",0.6923
"60567",0.2092
"60570",0.4404
"60574",-0.0022
"60575",-0.3274
"60576",-0.9846
"60582",-0.1507
"60584",0.4629
"60586",0.0524
"60587",0.2816
"60589",-0.0415
"60590",-0.0288
"60627",0.0351
"60628",0.1005
"60630",0.2209
"60662",-0.1804
