"","GSE179081_physical activity derived from voluntary running"
"14089",0.4406
"14102",-0.1853
"14103",-0.4922
"14104",-0.1461
"14105",0.0171
"14106",-0.6603
"14107",-0.4347
"14109",0.3638
"14113",0.1124
"14114",0.0282
"14115",-0.1237
"14118",0.0527
"14119",-0.3476
"14121",0.4678
"14123",-0.3127
"14127",-0.2112
"14128",0.3064
"14129",-0.5239
"14130",-0.6428
"14131",-0.0554
"14132",-0.1069
"14133",-1.3875
"14137",0.1238
"14148",0.2774
"14149",-0.2848
"14151",-0.0022
"14154",0.019
"14155",0.1268
"14156",0.1121
"14158",-0.0082
"14159",-0.2822
"14160",-0.4856
"14161",-0.2964
"14163",-0.1576
"14164",-0.0261
"14165",0.0353
"14166",-0.1963
"14167",0.025
"14168",0.0138
"14169",0.0913
"14171",-0.5947
"14172",-0.1446
"14173",-0.0699
"14176",0.0625
"14178",-0.1591
"14180",0.0216
"14181",-1.936
"14182",-0.1442
"14183",-0.0915
"14184",-0.1151
"14187",-0.1295
"14190",0.2011
"14194",0.2947
"14198",-0.1692
"14199",-0.0949
"14200",0.36
"14201",0.4856
"14202",-0.1346
"14204",0.4161
"14205",-0.5238
"14208",0.0063
"14211",-0.0195
"14218",-0.0481
"14219",-0.5915
"14221",0.0904
"14225",-0.0081
"14226",-0.1378
"14227",-0.0894
"14228",0.1409
"14229",-0.009
"14230",-0.1788
"14231",-0.0253
"14232",0.0342
"14234",-0.3036
"14235",-0.1504
"14236",0.0985
"14238",-0.2787
"14239",-2.0637
"14245",-0.3096
"14247",-0.2249
"14248",-0.1599
"14251",-0.0129
"14252",-0.1195
"14254",-0.5
"14255",-0.3683
"14256",-0.2413
"14257",-0.457
"14260",-0.3635
"14261",-0.321
"14263",0.2406
"14264",-0.5018
"14265",0.0436
"14266",0.0455
"14268",-0.9299
"14269",-0.3156
"14270",-0.4473
"14272",0.2589
"14275",3.4809
"14276",1.2019
"14281",-1.1178
"14282",-0.8625
"14284",0.0998
"14287",-0.1659
"14293",-0.4602
"14296",0.2394
"14297",0.2113
"14299",0.1513
"14300",-0.08
"14302",-0.3907
"14312",-0.1539
"14313",0.1684
"14314",0.1622
"14319",0.1339
"14325",0.1224
"14339",0.1192
"14344",0.3479
"14345",0.8633
"14347",-1.6743
"14348",0.1586
"14349",-0.1325
"14356",0.3689
"14357",-0.0101
"14359",0.0088
"14360",0.0064
"14362",-0.0171
"14365",0.0858
"14366",-0.163
"14367",0.4429
"14368",-0.1417
"14369",0.086
"14370",0.3031
"14371",-0.0413
"14373",-0.2131
"14375",0.0669
"14376",0.1393
"14381",0.1089
"14385",0.0935
"14387",-0.115
"14388",-0.1959
"14389",-0.2314
"14390",0.001
"14391",-0.0038
"14394",0.0548
"14395",-0.034
"14396",-0.3775
"14397",0.1118
"14400",0.0293
"14401",0.084
"14402",0.031
"14403",0.1981
"14404",0.0249
"14405",0.186
"14406",0.3797
"14407",-0.1873
"14408",-0.5896
"14409",-0.9488
"14411",-0.228
"14412",-1.4195
"14415",0.0568
"14417",-0.1977
"14419",0.4539
"14420",0.1508
"14421",-0.1477
"14422",0.7531
"14423",0.0281
"14425",-0.0036
"14426",-0.1516
"14427",-0.6002
"14428",0.001
"14430",0.0765
"14431",-0.0785
"14432",0.0458
"14433",-0.0903
"14447",-0.3085
"14450",0.0348
"14451",0.1229
"14453",0.1974
"14455",0.2681
"14456",0.2072
"14457",0.0154
"14461",-0.5456
"14465",-1.8541
"14466",-0.2421
"14467",0.1403
"14469",-0.5771
"14470",0.4473
"14479",0.0288
"14489",0.1791
"14527",0.0262
"14528",-0.0497
"14533",0.202
"14534",-0.2349
"14536",-0.2833
"14537",-0.1314
"14538",-0.011
"14539",0.0125
"14544",0.1205
"14545",0.0398
"14547",-0.0077
"14548",0.2101
"14555",0.0347
"14559",-3.3077
"14560",-0.1045
"14561",0.1317
"14563",-0.6283
"14566",-0.07
"14567",-0.0276
"14569",0.1551
"14570",0.0755
"14571",0.0623
"14573",-0.668
"14579",-0.0321
"14580",-0.2326
"14583",-0.0117
"14584",0.0546
"14585",0.0563
"14586",-0.1309
"14588",-0.0954
"14590",0.2631
"14593",-0.018
"14594",-0.3523
"14595",0.2228
"14598",-0.1028
"14600",0.0074
"14601",-1.7317
"14603",-0.2395
"14605",-0.2482
"14608",0.1412
"14609",-0.0687
"14611",0.1668
"14612",-0.2675
"14613",-1.136
"14615",0.0279
"14617",0.0388
"14618",-0.3946
"14619",0.1932
"14620",-0.3266
"14621",-0.491
"14623",-0.1295
"14626",0.8772
"14628",0.2278
"14629",-0.1834
"14630",-0.1909
"14632",-0.3009
"14633",-0.4299
"14634",-0.266
"14635",0.122
"14645",-0.0934
"14651",0.2643
"14652",0.043
"14657",-0.7765
"14658",0.0938
"14659",0.3177
"14660",0.1097
"14661",0.0912
"14663",0.147
"14664",-0.1699
"14667",0.0214
"14670",0.016
"14672",0.0211
"14673",-0.3559
"14674",0.1031
"14675",-1.2896
"14676",-0.8111
"14677",0.1273
"14678",-0.2051
"14679",0.3015
"14680",0.1039
"14681",-0.1255
"14682",0.0723
"14683",-0.0068
"14686",-0.7892
"14687",-0.1612
"14688",0.1141
"14693",0.0635
"14694",0.2254
"14696",0.0617
"14697",0.0034
"14700",0.2
"14701",-0.1857
"14702",0.0855
"14704",-0.2076
"14705",-0.103
"14706",0.17
"14707",0.3048
"14708",-0.0914
"14709",-0.738
"14710",-0.2719
"14711",-0.0018
"14712",0.0505
"14714",0.1518
"14718",0.1093
"14719",-0.0522
