"","GSE179081_physical activity derived from voluntary running"
"14087",-1.7368
"14088",0.9338
"14089",0.3214
"14102",-0.4841
"14103",-0.538
"14104",-1.4833
"14105",0.1852
"14106",-0.8256
"14107",-3.8995
"14109",3.2508
"14113",0.8711
"14114",0.13
"14115",-0.4864
"14118",0.2674
"14119",-1.5203
"14121",0.6434
"14123",-2.2509
"14127",-0.8495
"14128",1.2821
"14129",-1.488
"14130",-2.5981
"14131",-0.2715
"14132",-0.6906
"14133",-1.1666
"14137",0.7027
"14148",1.376
"14149",-1.3195
"14151",-0.0176
"14154",0.199
"14155",1.4583
"14156",0.7104
"14158",-0.0723
"14159",-0.978
"14160",-0.6644
"14161",-0.4443
"14163",-1.045
"14164",-0.2114
"14165",0.1962
"14166",-0.9025
"14167",0.1359
"14168",0.1152
"14169",0.7394
"14171",-0.6842
"14172",-0.3636
"14173",-0.281
"14176",0.3248
"14178",-0.3509
"14180",0.1423
"14181",-1.7059
"14182",-0.8983
"14183",-0.6473
"14184",-0.7238
"14187",-0.2742
"14190",0.5632
"14194",2.5945
"14198",-0.6129
"14199",-0.5595
"14200",1.0916
"14201",1.1529
"14202",-0.4161
"14204",1.0665
"14205",-1.3167
"14208",0.0666
"14211",-0.1336
"14218",-0.3617
"14219",-2.0306
"14221",0.8275
"14225",-0.0648
"14226",-0.5826
"14227",-0.7885
"14228",1.075
"14229",-0.0425
"14230",-0.7392
"14231",-0.0982
"14232",0.3091
"14234",-0.3428
"14235",-0.4349
"14236",0.6775
"14238",-0.8793
"14239",-2.0138
"14245",-2.051
"14247",-1.0393
"14248",-1.5534
"14251",-0.0908
"14252",-1.1252
"14254",-3.8454
"14255",-1.4122
"14256",-1.0042
"14257",-1.534
"14260",-1.9827
"14261",-1.4932
"14263",1.0645
"14264",-0.8549
"14265",0.4292
"14266",0.3943
"14268",-4.3297
"14269",-3.7196
"14270",-3.651
"14272",2.1043
"14275",1.053
"14276",1.3985
"14281",-3.5287
"14282",-4.1299
"14284",0.5608
"14287",-0.9257
"14293",-0.5217
"14296",1.4881
"14297",0.8548
"14299",1.0222
"14300",-0.6361
"14302",-0.3997
"14312",-1.633
"14313",0.4055
"14314",0.9494
"14319",0.9553
"14325",0.9837
"14339",1.2292
"14344",0.6161
"14345",1.1409
"14347",-2.2365
"14348",1.2931
"14349",-0.5431
"14356",2.1753
"14357",-0.1031
"14359",0.0965
"14360",0.0735
"14362",-0.0758
"14365",0.8633
"14366",-0.7342
"14367",1.6702
"14368",-0.5188
"14369",0.2476
"14370",1.6721
"14371",-0.1456
"14373",-0.7811
"14375",0.4508
