"","GSE184615_enrichment"
"13434",1.2088
"13435",4.7495
"13436",1.0421
"13437",2.427
"13445",0.3109
"13446",-0.0696
"13447",-1.1467
"13448",-1.2448
"13476",1.5432
"13478",0.6466
"13480",-0.1924
"13481",1.1378
"13482",1.5147
"13483",-0.6665
"13486",1.0055
"13488",2.1828
"13489",-1.9184
"13492",-1.5773
"13494",-0.1553
"13495",0.0893
"13496",1.8457
"13497",0.3969
"13498",0.4492
"13506",0.7802
"13507",2.5074
"13508",1.6689
"13511",-1.3599
"13516",-1.9678
"13518",1.6141
"13521",-0.3642
"13524",0.8646
"13527",0.9399
"13528",-1.3874
"13537",-0.5671
"13542",-1.2635
"13543",-0.0027
"13544",1.5358
"13548",-0.96
"13549",0.846
"13555",1.5597
"13557",-1.5928
"13559",-0.5228
"13560",-0.7536
"13589",2.1519
"13590",-2.0912
"13591",-0.0423
"13592",0.5053
"13593",-1.5375
"13595",1.1302
"13599",1.4079
"13601",1.2998
"13603",1.219
"13605",0.5587
"13607",1.7608
"13609",0.6824
"13610",1.3619
"13611",-0.9895
"13612",-0.4426
"13614",0.7452
"13616",0.0679
"13617",-0.5316
"13618",3.0626
"13619",0.5161
"13626",-1.2155
"13628",-0.005
"13631",-0.74
"13636",-0.2887
"13637",1.019
"13638",-0.8499
"13639",-1.6982
"13640",0.9143
"13641",0.4223
"13642",2.147
"13643",1.0244
"13644",0.4131
"13645",-1.1604
"13649",1.5484
"13650",0.3888
"13653",1.3772
"13654",0.9924
"13655",0.0058
"13656",-0.4449
"13660",-2.0908
"13663",-0.7968
"13664",0.0218
"13665",1.4158
"13666",-0.0072
"13667",1.8834
"13669",-0.6103
"13680",0.9285
"13681",-0.5937
"13682",0.4192
"13684",-0.6489
"13685",0.3894
"13688",0.6493
"13690",1.3683
"13709",0.0617
"13711",1.2317
"13712",-1.4
"13713",-1.0566
"13714",-1.1862
"13716",-0.9356
"13717",5.5927
"13722",-0.8992
"13723",0.5691
"13726",-1.8096
"13728",-0.1399
"13730",1.3228
"13731",1.2456
"13732",1.091
"13733",1.698
"13796",0.4405
"13797",-1.301
"13799",0.0462
"13800",-0.9053
"13803",-2.3137
"13804",-0.0669
"13805",1.2522
"13806",-0.0705
"13807",0.3564
"13808",-2.0179
"13809",-0.168
"13813",0.7211
"13819",0.3774
"13821",-1.658
"13822",1.22
"13823",-0.3789
"13824",1.2974
"13829",-1.0871
"13830",-0.8306
"13831",-2.2452
