"","GSE1833_environmental enrichment"
"171410",1.0623
"171411",1.2668
"171412",-0.9691
"171413",-0.6551
"171414",-0.017
"171415",0.367
"171432",0.0395
"171433",-0.0799
"171434",1.6797
"171435",-0.3158
"171436",-0.5443
"171437",-0.00985
"171438",-2.0608
"171439",-2.1877
"171440",0.8489
"171441",2.2244
"171442",0.2547
"171443",-1.6029
"171444",-0.1044
"171445",-1.4128
"171447",-0.3407
"171449",-0.0838
"171451",0.3657
"171452",-0.7864
"171454",-0.1141
"171455",0.4805
"171458",-0.7979
"171459",-1.0761
"171460",1.0223
"171493",0.5033
"171494",-0.7841
"171495",0.7568
"171496",0.0957
"171497",0.7861
"171498",0.3462
"171499",1.0081
"171500",-0.138133333333333
"171501",-0.635
"171503",-1.1179
"171516",0.3643
"171517",0.4004
"171518",0.9168
"171519",-1.2255
"171521",0.0267
"171522",-0.2194
"171529",0.5464
"171547",0.14535
"171548",0.7792
"171549",-1.5466
"171551",0.355425
"171552",1.01765
"171553",0.9053
"171554",-0.5423
"171556",-1.1828
"171562",0.886
"171564",0.2558
"171565",-0.1223
"171566",0.9996
"171569",0.2378
"171571",-0.3555
"171572",0.3833
"171573",1.0773
"171574",-0.1964
"171575",0.5148
"171576",-2.187
"171577",0.3993
"171581",-0.2138
"191569",-0.6902
"191571",1.8622
"191572",-0.4756
"191573",-2.4562
"191574",-0.89525
"191575",0.2508
"191576",-0.7648
"191595",0.8311
"192107",-0.091
"192109",-0.5431
"192110",-1.8455
"192117",1.6489
"192126",-2.0008
"192129",1.0918
"192147",-1.0815
"192152",0.290833333333333
"192153",1.0872
"192154",-1.09605
"192155",0.2197
"192172",0.1109
"192177",-0.4796
"192178",-0.37695
"192179",-0.2462
"192180",1.9069
"192181",0.968566666666667
"192183",-0.2114
"192189",-2.25125
"192203",-3.8457
"192204",1.2295
"192205",0.8597
"192206",1.2218
"192208",0.7828
"192209",0.45035
"192210",0.6904
"192211",1.0722
"192213",-2.7004
"192215",-0.681
"192218",-0.5374
"192223",1.0923
"192224",0.1362
"192225",0.9179
"192226",0.9919
"192227",0.0343
"192228",-1.759
"192229",0.0388
"192234",-0.76955
"192235",-0.5753
"192241",0.7016
"192243",-0.8317
"192245",1.2004
"192246",-0.2167
"192248",-2.49333333333333
"192249",0.1106
"192251",0.4908
"192252",1.1145
"192253",-0.71865
"192254",-1.1344
"192256",-0.1454
"192258",-2.3498
"192259",0.406
"192260",-0.9791
"192262",2.5975
"192263",0.2072
"192267",-0.9435
"192268",-1.4879
"192269",0.7485
"192270",0.420733333333333
"192271",-0.0174
"192272",-0.2975
"192273",0.6758
"192274",0.1524
"192275",0.423
"192276",1.1886
"192277",2.7138
"192280",-0.343
"192348",0.3031
"192349",-1.5332
"192350",-0.2735
"192351",0.6398
"192352",0.982
"192356",-0.0437
"192359",-0.2981
"192360",0.622
"192361",0.3621
"192363",0.1599
"192645",-0.5499
"192647",-0.138
"192648",0.3197
"192649",1.8713
"201097",0.6932
"207113",-0.1254
"207119",0.594
"207120",-1.1454
"207122",-0.34285
"207123",-0.7754
"24152",1.5242
"24153",0.8607
"24158",0.2445
"24159",-0.062
"24161",1.0348
"24162",-0.9552
"24163",0.2736
"24165",0.3015
"24167",0.197825
"24170",0.5012
"24171",0.1255
"24172",0.4361
"24173",-0.0466
"24174",-1.2989
"24175",-2.1778
"24176",-0.1932
"24177",-0.2603
"24179",0.3814
"24180",-0.21385
"24182",-0.3923
"24183",-0.00925
"24184",-0.1714
"24185",-1.0716
"24186",-1.247
"24188",-0.6711
"24189",-0.2062
"24190",0.316
"24191",-0.0808
"24192",1.1677
"24197",-0.1955
"24203",-0.9582
"24205",0.8748
"24206",0.4995
"24207",0.8508
"24208",0.6641
"24209",0.3755
"24210",-0.2159
"24211",-1.09315
"24212",-0.5106
"24213",-0.6599
"24214",-0.0944
"24215",-0.3311
"24216",0.634
"24217",1.2876
"24218",0.4741
"24221",-0.1193
"24223",1.2102
"24224",-1.0647
"24225",3.0303
"24230",0.4483
"24232",0.7433
"24235",-1.1655
"24236",-0.8469
"24239",-0.87
"24240",0.5173
"24241",0.0995
"24242",0.00534999999999997
"24244",0.5804
"24245",2.0805
"24246",-0.7938
"24247",0.5337
"24248",1.1719
"24249",0.754
"24250",-0.8495
"24251",1.5668
"24252",0.1296
"24253",-0.43
"24254",0.4778
"24256",-0.43
"24257",-1.08565
"24258",0.2463
"24259",1.7347
"24260",0.7108
"24261",-0.0544
"24264",-0.6035
"24265",1.7966
"24267",0.9484
"24268",0.0433
"24269",0.3267
"24271",-0.8095
"24273",-0.8004
"24277",0.0024
"24278",0.5045
"24282",-0.7275
"24283",0.5428
"24284",-0.7064
"24291",0.0738
"24296",0.8884
"24297",0.7303
"24298",-0.2881
"24299",0.9191
"24303",-2.2901
"24307",-0.2083
"24309",-0.4802
"24310",-0.1563
"24311",-0.1405
"24312",0.1107
"24314",-0.6247
"24315",0.0211
"24316",-0.1977
"24318",-1.2249
"24323",0.6466
"24324",-0.269
"24326",1.0492
"24329",1.2884
"24331",0.061
"24332",0.259
"24334",-1.2725
"24335",0.249
"24336",0.49395
"24337",-1.3168
"24346",-2.0344
"24356",0.6997
"24360",0.1215
"24361",0.1787
"24362",-0.6937
"24366",-0.7205
"24367",0.7709
"24368",-0.788
"24370",-1.4569
"24373",-0.01705
"24375",0.9573
"24377",0.0903
"24379",-0.7727
"24380",2.4729
"24384",-0.3451
"24385",0.0428
"24387",1.0418
"24388",0.512
"24390",-0.0165
"24391",0.8419
"24392",1.41485
"24397",-1.2006
"24398",0.0941666666666667
"24399",-1.35145
"24400",-0.2317
"24401",0.7554
"24404",0.0771
"24406",2.2417
"24407",-0.81
"24408",0.07745
"24409",0.3231
"24410",1.0282
"24411",-0.2762
"24412",0.4004
"24413",-0.60525
"24414",-0.254
"24415",-0.5485
"24416",-0.4392
"24417",0.9418
"24418",0.1503
"24419",-0.30315
"24420",0.2022
"24421",0.2852
"24423",0.3591
"24424",-1.5499
"24426",0.438
"24434",-0.0563
"24437",2.0189
"24438",0.5378
"24439",-0.3552
"24443",-0.3026
"24446",-1.0408
"24448",-2.0065
"24450",-1.3092
"24451",0.0024
"24459",1.0685
"24460",-0.0468
"24464",2.5196
"24465",0.2598
"24470",-0.2944
"24471",1.9491
"24472",3.4694
"24473",0.6841
"24476",2.5415
"24477",-0.5573
"24479",1.6561
"24481",-0.5425
"24482",1.4859
"24483",-0.4464
"24484",-0.89405
"24493",0.4327
"24494",2.0623
"24495",2.0914
"24497",-0.6123
"24498",0.377
"24499",-3.3511
"24500",-0.7074
"24503",0.0905499999999999
"24504",-1.2621
"24505",-0.8265
"24506",0.7183
"24508",0.7115
"24511",0.22985
"24513",-0.0875
"24514",-1.2674
"24516",0.860066666666667
"24517",3.9211
"24518",1.9203
"24520",-0.7095
"24521",0.0682
"24522",0.1061
"24523",0.0105
"24528",0.8296
"24530",0.7864
"24534",0.2156
"24536",0.4523
"24538",0.5819
"24546",0.8215
"24547",0.5904
"24548",0.0116
"24551",-0.5694
"24552",-0.7035
"24553",-1.5748
"24558",2.7414
"24560",-0.6535
"24561",2.4346
"24564",0.0143
"24565",-2.8409
"24566",-1.2447
"24567",1.4344
"245708",-0.9646
"245709",0.2454
"24575",-2.0214
"24577",0.2773
"24581",-1.2673
"24582",1.2487
"24583",-0.6547
"24584",-0.749
"24585",-0.2699
"24586",0.0987
"24587",0.4581
"24588",0.7394
"24590",-0.8562
"245903",-0.1579
"24591",-0.27125
"245916",0.3592
"245917",0.5094
"245918",0.428
"245919",0.1184
"24592",1.5676
"245920",0.3903
"245921",1.4107
"245922",0.016
"245924",0.6955
"245925",-0.373
"245926",0.3682
"24594",0.3644
"245953",0.4945
"245955",0.2993
"245956",-2.5637
"245957",-0.1572
"245958",0.3516
"245959",0.0906
"24596",0.4273
"245961",-1.1567
"245962",1.0635
"245965",0.6662
"245966",0.6702
"245974",-1.7148
"245975",-1.0912
"245976",-0.455
"245977",0.2855
"245978",-0.18895
"24598",-2.0823
"245980",0.07055
"245982",1.9302
"245983",0.4134
"245985",-0.7613
"245986",-0.1151
"24599",0.3795
"24600",0.0385
"24602",-0.5967
"24603",-0.5504
"24604",2.6179
"246042",1.266
"246043",-0.3219
"246046",-0.0623
"246047",-0.7166
"246060",-0.1686
"246074",1.0228
"246075",0.9567
"24609",1.3689
"24610",1.1123
"246115",-1.3471
"246117",0.1742
"246118",-0.892
"24612",-0.2729
"246120",-0.31325
"24613",-1.386
"246136",-0.7162
"246138",0.3309
"24614",0.609
"246142",-1.3839
"246143",0.03875
"246144",-0.6161
"246146",-0.2966
"246147",0.1487
"24615",1.6136
"246151",0.4863
"246153",-0.457625
"24616",-1.2706
"24617",-0.2381
"246172",0.9843
"24618",-0.3339
"246185",0.4024
"246187",0.7105
"24620",0.8778
"246211",-0.6919
"246212",0.2655
"246215",0.0086
"246216",0.9119
"246217",-2.8567
"246219",1.2813
"246232",0.1005
"246233",-0.7402
"246237",-1.1479
"246239",0.4777
"24624",0.0371
"246240",1.014
"246244",1.0186
"246246",-1.7819
"246249",-2.5156
"246254",-1.59145
"246255",-0.1375
"24626",-0.2701
"246263",2.2435
"246264",-1.1377
"246266",-0.5988
"246268",-0.8049
"24627",-0.0397
"246271",-0.5606
"246272",-0.5898
"246273",1.3592
"246274",1.035
"246279",-0.63
"246280",2.1503
"246281",-1.0527
"246282",-0.29794
"246284",-0.12705
"24629",-0.52
"246294",-0.1919
"246295",0.346
"246296",-0.7619
"246298",0.9912
"246299",0.2258
"246301",-1.3439
"246303",-0.5461
"246305",0.5824
"246306",-0.2719
"246307",0.2441
"24631",0.7001
"246310",-0.5121
"246311",-1.4358
"246314",-0.10305
"246323",-0.1209
"246324",-0.58775
"246325",-0.9113
"246326",3.4493
"246327",-3.4861
"246328",0.3543
"246331",1.7976
"246332",0.1372
"246333",-0.4157
"246334",-1.3629
"246358",-0.6005
"24638",0.2277
"24640",0.1242
"24642",-0.5933
"24644",0.13105
"24645",-0.18355
"24648",1.2774
"24649",0.3995
"24651",-1.3519
"24653",1.517
