"","GSE1833_environmental enrichment"
"24552",-0.05165
"24553",-0.1141
"24558",0.1477
"24560",-0.0367
"24561",0.1544
"24564",-0.00375
"24565",-0.2798
"24566",-0.0907
"24567",0.1234
"245708",-0.0465
"245709",0.026
"24575",-0.1835
"24577",0.0191
"24581",-0.0596
"24582",0.1082
"24583",-0.0367
"24584",-0.0351
"24585",-0.0146
"24586",0.0061
"24587",0.0191
"24588",0.0455
"24590",-0.0384
"245903",-0.0075
"24591",-0.01145
"245916",0.0167
"245917",0.03
"245918",0.0201
"245919",0.0057
"24592",0.0854
"245920",0.0215
"245921",0.1629
"245922",0.0018
"245924",0.0483
"245925",-0.0209
"245926",0.0215
"24594",0.0155
"245953",0.0332
"245955",0.0323
"245956",-0.2373
"245957",-0.0093
"245958",0.0193
"245959",0.004
"24596",0.0358
"245961",-0.0611
"245962",0.1615
"245965",0.0398
"245966",0.0466
"245974",-0.0978
"245975",-0.0914
"245976",-0.0415
"245977",0.0244
"245978",-0.00875
"24598",-0.1143
"245980",0.0047
"245982",0.0874
"245983",0.0289
"245985",-0.0455
"245986",-0.0066
"24599",0.0241
"24600",0.0022
"24602",-0.0267
"24603",-0.0367
"24604",0.1791
"246042",0.084
"246043",-0.017
"246046",0.0037
"246047",-0.039
"246060",-0.0299
"246074",0.0723
"246075",0.0475
"24609",0.0685
"24610",0.0679
"246115",-0.0935
"246117",0.0087
"246118",-0.0773
"24612",-0.0194
"246120",-0.02195
"24613",-0.062
"246136",-0.0435
"246138",0.0147
"24614",0.0319
"246142",-0.089
"246143",-0.0047
"246144",-0.0544
"246146",-0.026
"246147",0.0057
"24615",0.2768
"246151",0.0223
"246153",-0.063525
"24616",-0.0623
"24617",-0.0111
"246172",0.0497
"24618",-0.0151
"246185",0.0251
"246187",0.035
"24620",0.0397
"246211",-0.048
"246212",0.0129
"246215",6e-04
"246216",0.058
"246217",-0.1802
"246219",0.0836
"246232",0.0126
"246233",-0.0617
"246237",-0.0649
"246239",0.0541
"24624",0.0021
"246240",0.0484
"246244",0.0761
"246246",-0.106
"246249",-0.1494
"246254",-0.0772
"246255",-0.0074
"24626",-0.0184
"246263",0.143
"246264",-0.0612
"246266",-0.0304
"246268",-0.0356
"24627",-0.002
"246271",-0.0251
"246272",-0.0349
"246273",0.0737
"246274",0.0646
"246279",-0.0512
"246280",0.1009
"246281",-0.0526
"246282",-0.03622
"246284",-0.0121
"24629",-0.0321
"246294",-0.0141
"246295",0.0213
"246296",-0.0329
"246298",0.1231
"246299",0.0174
"246301",-0.0821
"246303",-0.0409
"246305",0.0284
"246306",-0.0257
"246307",0.0176
"24631",0.0451
"246310",-0.0311
"246311",-0.0778
"246314",-0.0089
"246323",-0.0069
"246324",-0.014
"246325",-0.0598
"246326",0.1979
"246327",-0.2487
"246328",0.0288
"246331",0.1078
"246332",0.0293
"246333",-0.0348
"246334",-0.0623
"246358",-0.0398
"24638",0.0142
"24640",0.0093
"24642",-0.0255
"24644",0.0058
