"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_17283_coefficient","contrast_17283_log2fc","contrast_17283_tstat","contrast_17283_pvalue"
"5422","1369018_at","58921","ENSRNOG00000005936","Foxm1","forkhead box M1",0.4808,0.9238,0.5203,0.0198,0.0198,0.28,0.784
"5423","1368451_at","85268","ENSRNOG00000061153","Hrh3","histamine receptor H3",0.4797,0.9238,0.5193,-0.1713,-0.1713,-3.3027,0.0059
"5424","1398869_at","117262","ENSRNOG00000018994","Psmc4","proteasome 26S subunit, ATPase 4",0.4805,0.9238,0.5198,0.0062,0.0062,0.1334,0.8959
"5425","1388967_at","317376","ENSRNOG00000009605","Tfe3","transcription factor binding to IGHM enhancer 3",0.4802,0.9238,0.5196,-0.0095,-0.0095,-0.1819,0.8585
"5426","1376080_at","102554884","ENSRNOG00000049783","Rcor1","REST corepressor 1",0.481,0.9238,0.5204,-0.0361,-0.0361,-0.705,0.4935
"5427","1390434_at","246756","ENSRNOG00000015179","Tradd","TNFRSF1A-associated via death domain",0.4799,0.9238,0.5194,-0.0194,-0.0194,-0.3164,0.7568
"5428","1387760_a_at","25231","ENSRNOG00000008095","Onecut1","one cut homeobox 1",0.4818,0.9243,0.5212,-0.048,-0.048,-0.8364,0.4184
"5429","1367681_at","64315","ENSRNOG00000062573","Cd151","CD151 molecule (Raph blood group)",0.4831,0.9245,0.5225,0.0565,0.0565,0.6989,0.4972
"5430","1375430_at","303211","ENSRNOG00000069117","Mmgt2","membrane magnesium transporter 2",0.4831,0.9245,0.5224,0.1323,0.1323,1.6789,0.1175
"5431","1394213_at","360563","ENSRNOG00000018550","Ncbp3","nuclear cap binding subunit 3",0.483,0.9245,0.5223,0.0152,0.0152,0.3564,0.7273
"5432","1371271_at","296678","ENSRNOG00000068962","Or1n1b","olfactory receptor family 1 subfamily N member 1B",0.4827,0.9245,0.5219,-0.022,-0.022,-0.4257,0.6774
"5433","1368275_at","140910","ENSRNOG00000032297","Msmo1","methylsterol monooxygenase 1",0.483,0.9245,0.5223,0.0626,0.0626,1.206,0.2498
"5434","1387173_at","25627","ENSRNOG00000020563","Cma1","chymase 1",0.4825,0.9245,0.5216,0.0291,0.0291,0.3395,0.7398
"5435","1387677_at","29589","ENSRNOG00000002784","Pou3f4","POU class 3 homeobox 4",0.4828,0.9245,0.522,0.0257,0.0257,0.3242,0.751
"5436","1373184_at","297554","ENSRNOG00000014713","Csgalnact2","chondroitin sulfate N-acetylgalactosaminyltransferase 2",0.4833,0.9245,0.5227,-0.0219,-0.0219,-0.3186,0.7552
"5437","1388925_at","306840","ENSRNOG00000017866","Sirt5","sirtuin 5",0.4833,0.9245,0.5227,-0.0059,-0.0059,-0.1306,0.8981
"5438","1387708_at","25083","ENSRNOG00000047545","Adra2a","adrenoceptor alpha 2A",0.4833,0.9245,0.5226,-0.1062,-0.1062,-1.6842,0.1165
"5439","1389455_at","295461","ENSRNOG00000023373","Sec24b","SEC24 homolog B, COPII coat complex component",0.482,0.9245,0.5213,0.0115,0.0115,0.1584,0.8766
"5440","1371992_at","290631","ENSRNOG00000017071","Babam1","BRISC and BRCA1 A complex member 1",0.4829,0.9245,0.522,-0.0881,-0.0881,-1.0387,0.3182
"5441","1392453_at","84360","ENSRNOG00000010682","Clcn3","chloride voltage-gated channel 3",0.4824,0.9245,0.5215,0.0233,0.0233,0.2897,0.7767
"5442","1370790_at","25712","ENSRNOG00000007468","Ifng","interferon gamma",0.4829,0.9245,0.5221,-0.0082,-0.0082,-0.1582,0.8768
"5443","1370751_at","257642","","LOC257642","rRNA promoter binding protein",0.4827,0.9245,0.5218,0.0108,0.0108,0.1697,0.8679
"5444","1389906_at","29580","ENSRNOG00000021314","Fdft1","farnesyl diphosphate farnesyl transferase 1",0.4825,0.9245,0.5216,-0.0058,-0.0058,-0.1337,0.8957
"5445","1367952_at","29216","ENSRNOG00000056184","Lrp2","LDL receptor related protein 2",0.4826,0.9245,0.5218,0.0247,0.0247,0.4066,0.6911
"5446","1370837_at","245917","ENSRNOG00000019879","Sycn","syncollin",0.4835,0.9245,0.5229,0.03,0.03,0.5094,0.6192
"5447","1388913_at","246115","ENSRNOG00000000177","Plpp2","phospholipid phosphatase 2",0.4835,0.9245,0.523,-0.0935,-0.0935,-1.3471,0.2014
"5448","1371466_at","501550","ENSRNOG00000042276","Trappc2","trafficking protein particle complex subunit 2",0.4834,0.9245,0.5228,-0.0216,-0.0216,-0.386,0.7059
"5449","1368998_at","65193","ENSRNOG00000002149","Nkx6-1","NK6 homeobox 1",0.4836,0.9246,0.523,0.0174,0.0174,0.3767,0.7126
"5450","1373254_at","450225","ENSRNOG00000030170","Krt10","keratin 10",0.4838,0.9247,0.5232,-0.028,-0.028,-0.3497,0.7323
"5451","1367614_at","25380","ENSRNOG00000017469","Anxa1","annexin A1",0.4837,0.9247,0.5231,0.059,0.059,0.8785,0.3959
"5452","1372252_at","287427","ENSRNOG00000037627","Trappc1","trafficking protein particle complex subunit 1",0.4838,0.9247,0.5232,0.0166,0.0166,0.2468,0.809
"5453","1374759_at","362760","ENSRNOG00000004589","Galnt16","polypeptide N-acetylgalactosaminyltransferase 16",0.4839,0.9247,0.5233,-0.0634,-0.0634,-0.9846,0.3432
"5454","1373817_at","297597","ENSRNOG00000023363","Ing4","inhibitor of growth family, member 4",0.484,0.9248,0.5233,0.0105,0.0105,0.1978,0.8463
"5455","1372421_at","290923","ENSRNOG00000000108","Aga","aspartylglucosaminidase",0.4847,0.9252,0.5239,0.03,0.03,0.4448,0.6639
"5456","1383336_at","368070","ENSRNOG00000004061","Pnn","pinin, desmosome associated protein",0.4847,0.9252,0.5238,-0.0416,-0.0416,-0.2819,0.7825
"5457","1372514_s_at","300078","ENSRNOG00000015583","Dnal4","dynein, axonemal, light chain 4",0.4844,0.9252,0.5235,0.034,0.034,0.6665,0.517
"5458","1373965_at","290642","ENSRNOG00000018932","Ccdc124","coiled-coil domain containing 124",0.4846,0.9252,0.5237,0.0263,0.0263,0.2825,0.7821
"5459","1371559_at","100125370","ENSRNOG00000016936","Nadk","NAD kinase",0.4846,0.9252,0.5235,-0.0372,-0.0372,-0.7168,0.4864
"5460","1372659_at","684322","ENSRNOG00000015097","Kcmf1","potassium channel modulatory factor 1",0.485,0.9256,0.524,0.0199,0.0199,0.3824,0.7085
