"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_166916_coefficient","contrast_166916_log2fc","contrast_166916_tstat","contrast_166916_pvalue","contrast_166917_coefficient","contrast_166917_log2fc","contrast_166917_tstat","contrast_166917_pvalue","contrast_166919_coefficient","contrast_166919_log2fc","contrast_166919_tstat","contrast_166919_pvalue"
"81",21969,21969,"ENSMUSG00000070544","Top1","topoisomerase (DNA) I",2e-04,0.057,0.0039,0.1084,0.1084,2.2875,0.0314,0.2254,0.2254,4.8717,5.888e-05,0.052,0.052,0.9737,0.34
"82",66011,66011,"ENSMUSG00000040594","Ranbp17","RAN binding protein 17",2e-04,0.057,0.004,0.0705,0.0705,1.2233,0.2332,-0.0953,-0.0953,-1.6634,0.1094,0.1911,0.1911,3.0214,0.0059
"83",210573,210573,"ENSMUSG00000096847","Tmem151b","transmembrane protein 151B",2e-04,0.057,0.004,0.1439,0.1439,3.0668,0.0053,0.1505,0.1505,3.28,0.0032,-0.0527,-0.0527,-0.9943,0.3301
"84",232146,232146,"ENSMUSG00000035104","Eva1a","eva-1 homolog A, regulator of programmed cell death",2e-04,0.057,0.0041,-0.3184,-0.3184,-4.4592,2e-04,-0.3428,-0.3428,-4.8969,5.525e-05,-0.1736,-0.1736,-2.1998,0.0378
"85",12398,12398,"ENSMUSG00000006362","Cbfa2t3","CBFA2/RUNX1 translocation partner 3",2e-04,0.057,0.0041,0.2759,0.2759,2.7935,0.0101,0.4021,0.4021,4.1729,3e-04,-0.0222,-0.0222,-0.1976,0.845
"86",67382,67382,"ENSMUSG00000026918","Brd3","bromodomain containing 3",2e-04,0.0576,0.0042,0.1664,0.1664,3.9511,6e-04,0.1236,0.1236,2.9964,0.0063,-0.0196,-0.0196,-0.4118,0.6842
"87",170439,170439,"ENSMUSG00000041220","Elovl6","ELOVL fatty acid elongase 6",2e-04,0.0577,0.0042,0.0877,0.0877,2.0866,0.0478,0.1983,0.1983,4.8351,6.46e-05,0.048,0.048,1.0139,0.3209
"88",494468,494468,"ENSMUSG00000072969","Armcx5","armadillo repeat containing, X-linked 5",3e-04,0.0582,0.0044,-0.1704,-0.1704,-2.2862,0.0315,-0.224,-0.224,-3.0601,0.0054,0.1238,0.1238,1.5135,0.1433
"89",102637797,102637797,"ENSMUSG00000104093","A330015K06Rik","RIKEN cDNA A330015K06 gene",3e-04,0.0582,0.0043,-0.5022,-0.5022,-3.066,0.0053,-0.5107,-0.5107,-3.1974,0.0039,0.1632,0.1632,0.9613,0.3461
"90",100038497,100038497,"","Gm10603","predicted gene 10603",3e-04,0.0582,0.0044,0.2601,0.2601,2.0641,0.0501,0.5451,0.5451,4.5049,1e-04,0.072,0.072,0.5038,0.619
"91",12575,12575,"ENSMUSG00000023067","Cdkn1a","cyclin dependent kinase inhibitor 1A",3e-04,0.0582,0.0043,0.2536,0.2536,2.063,0.0502,0.5187,0.5187,4.3847,2e-04,0.0317,0.0317,0.2269,0.8224
"92",68149,68149,"ENSMUSG00000021203","Otub2","OTU domain, ubiquitin aldehyde binding 2",3e-04,0.0583,0.0049,0.0712,0.0712,0.8923,0.3811,0.2759,0.2759,3.56,0.0016,-0.0956,-0.0956,-1.0585,0.3005
"93",27261,27261,"ENSMUSG00000035711","Dok3","docking protein 3",3e-04,0.0583,0.0049,0.6345,0.6345,3.2557,0.0034,0.742,0.742,3.8932,7e-04,-0.0401,-0.0401,-0.174,0.8633
"94",108168382,108168382,"","Gm46626","predicted gene, 46626",3e-04,0.0583,0.0047,0.8833,0.8833,4.7576,7.858e-05,0.6044,0.6044,3.2379,0.0035,0.2556,0.2556,1.1849,0.2478
"95",66277,66277,"ENSMUSG00000030087","Klf15","Kruppel-like transcription factor 15",3e-04,0.0583,0.005,-0.2161,-0.2161,-4.8529,6.175e-05,-0.1963,-0.1963,-4.5074,1e-04,-0.1208,-0.1208,-2.4258,0.0232
"96",53626,53626,"ENSMUSG00000068154","Insm1","insulinoma-associated 1",3e-04,0.0583,0.0048,0.2782,0.2782,3.603,0.0014,0.2027,0.2027,2.659,0.0138,-0.0753,-0.0753,-0.8456,0.4062
"97",22022,22022,"ENSMUSG00000029344","Tpst2","protein-tyrosine sulfotransferase 2",3e-04,0.0583,0.0046,-0.1702,-0.1702,-3.7887,9e-04,-0.2287,-0.2287,-5.1749,2.742e-05,-0.1135,-0.1135,-2.2605,0.0332
"98",93686,93686,"ENSMUSG00000033565","Rbfox2","RNA binding protein, fox-1 homolog (C. elegans) 2",3e-04,0.0583,0.0047,0.0759,0.0759,2.3392,0.0281,0.1105,0.1105,3.4854,0.0019,-0.0399,-0.0399,-1.0885,0.2873
"99",93691,93691,"ENSMUSG00000025959","Klf7","Kruppel-like transcription factor 7 (ubiquitous)",3e-04,0.0583,0.0048,0.2801,0.2801,4.8216,6.684e-05,0.2426,0.2426,4.2645,3e-04,0.1233,0.1233,1.882,0.0721
"100",263764,263764,"ENSMUSG00000050967","Creg2","cellular repressor of E1A-stimulated genes 2",3e-04,0.0583,0.0046,0.047,0.047,0.8276,0.4161,0.2383,0.2383,4.3073,2e-04,0.0337,0.0337,0.5269,0.6032
"101",83558,83558,"ENSMUSG00000009670","Tex11","testis expressed gene 11",3e-04,0.0583,0.0047,-0.8256,-0.8256,-3.3921,0.0024,-0.8957,-0.8957,-3.7506,0.001,0.0597,0.0597,0.2459,0.8079
