"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_207422_coefficient","contrast_207422_log2fc","contrast_207422_tstat","contrast_207422_pvalue"
"143",13656,13656,"ENSMUSG00000071341","Egr4","early growth response 4",0.0013,0.1721,0.0073,0.3743,0.3743,3.9508,0.0013
"144",27370,27370,"ENSMUSG00000025362","Rps26","ribosomal protein S26",0.0011,0.1721,0.0064,0.2145,0.2145,4.0233,0.0011
"145",69870,69870,"ENSMUSG00000028104","Polr3gl","polymerase (RNA) III (DNA directed) polypeptide G like",0.0014,0.1721,0.008,-0.3044,-0.3044,-3.9027,0.0014
"146",11431,11431,"ENSMUSG00000044573","Acp1","acid phosphatase 1, soluble",0.0013,0.1721,0.0076,0.1916,0.1916,3.9295,0.0013
"147",69890,69890,"ENSMUSG00000049295","Zfp219","zinc finger protein 219",0.0013,0.1721,0.0071,-0.2855,-0.2855,-3.9559,0.0013
"148",408068,408068,"ENSMUSG00000048280","Zfp738","zinc finger protein 738",0.0016,0.1721,0.0089,0.2381,0.2381,3.8415,0.0016
"149",100505386,100505386,"ENSMUSG00000102422","Iqschfp","Iqcj and Schip1 fusion protein",0.0011,0.1721,0.0061,-0.5126,-0.5126,-4.0477,0.0011
"150",12667,12667,"ENSMUSG00000006958","Chrd","chordin",0.0016,0.1721,0.0092,-0.3113,-0.3113,-3.8362,0.0016
"151",140483,140483,"ENSMUSG00000026986","Hnmt","histamine N-methyltransferase",0.0016,0.1721,0.0089,0.2672,0.2672,3.8442,0.0016
"152",97761,97761,"ENSMUSG00000038351","Sgsm2","small G protein signaling modulator 2",0.0014,0.1721,0.0079,-0.1936,-0.1936,-3.9072,0.0014
"153",15511,15511,"ENSMUSG00000090877","Hspa1b","heat shock protein 1B",0.0016,0.1721,0.0094,-0.405,-0.405,-3.8286,0.0016
"154",22183,22183,"ENSMUSG00000044068","Zrsr2-ps1","zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2, pseudogene 1",0.0013,0.1721,0.0071,-0.1647,-0.1647,-3.9625,0.0013
"155",20893,20893,"ENSMUSG00000030103","Bhlhe40","basic helix-loop-helix family, member e40",0.0011,0.1721,0.0064,0.1976,0.1976,4.019,0.0011
"156",594844,594844,"ENSMUSG00000044550","Tceal3","transcription elongation factor A (SII)-like 3",0.0013,0.1721,0.0075,-0.1888,-0.1888,-3.935,0.0013
"157",233208,233208,"ENSMUSG00000038406","Scaf1","SR-related CTD-associated factor 1",0.0015,0.1721,0.0086,-0.161,-0.161,-3.8677,0.0015
"158",21428,21428,"ENSMUSG00000017801","Mlx","MAX-like protein X",0.0014,0.1721,0.008,0.2337,0.2337,3.9045,0.0014
"159",224824,224824,"ENSMUSG00000002763","Pex6","peroxisomal biogenesis factor 6",0.0013,0.1721,0.0074,-0.2881,-0.2881,-3.9374,0.0013
"160",76936,76936,"ENSMUSG00000059208","Hnrnpm","heterogeneous nuclear ribonucleoprotein M",0.0016,0.1721,0.0087,-0.2107,-0.2107,-3.8575,0.0016
"161",105559,105559,"ENSMUSG00000022139","Mbnl2","muscleblind like splicing factor 2",0.0011,0.1721,0.0062,0.1548,0.1548,4.03,0.0011
"162",228852,228852,"ENSMUSG00000037754","Ppp1r16b","protein phosphatase 1, regulatory subunit 16B",0.0016,0.1721,0.0088,-0.1623,-0.1623,-3.847,0.0016
"163",56215,56215,"ENSMUSG00000022185","Acin1","apoptotic chromatin condensation inducer 1",0.0015,0.1721,0.0082,-0.1587,-0.1587,-3.8894,0.0015
"164",213435,213435,"ENSMUSG00000031698","Mylk3","myosin light chain kinase 3",0.0016,0.1721,0.0095,0.8088,0.8088,3.8277,0.0016
"165",26367,26367,"ENSMUSG00000054385","Ceacam2","CEA cell adhesion molecule 2",0.0016,0.1721,0.0091,1.33,1.33,3.8364,0.0016
"166",16478,16478,"ENSMUSG00000071076","Jund","jun D proto-oncogene",0.0012,0.1721,0.0066,-0.2202,-0.2202,-3.9926,0.0012
"167",53322,53322,"ENSMUSG00000030659","Nucb2","nucleobindin 2",0.0017,0.1721,0.0096,0.2465,0.2465,3.8262,0.0017
"168",69582,69582,"ENSMUSG00000028917","Plekhm2","pleckstrin homology domain containing, family M (with RUN domain) member 2",0.0015,0.1721,0.0083,-0.2055,-0.2055,-3.8861,0.0015
